pert_iname,InChIKey,clinical_phase,moa,target,disease_area,indication
A-33903,MMXSDWJOQSEPSM-MRXNPFEDSA-N,Phase 2,,,,
A-366,BKCDJTRMYWSXMC-UHFFFAOYSA-N,Preclinical,histone lysine methyltransferase inhibitor,EHMT1|EHMT2,,
A-381393,SAQMCVDGOIRQTC-UHFFFAOYSA-N,Preclinical,dopamine receptor antagonist,,,
A-412997,JFCDMGGMCUKHST-UHFFFAOYSA-N,Preclinical,dopamine receptor agonist,DRD4,,
A-438079,MMPAULQSJLVKHP-UHFFFAOYSA-N,Preclinical,purinergic receptor antagonist,P2RX7,,
A-485,VRVJKILQRBSEAG-LFPIHBKWSA-N,Preclinical,histone acetyltransferase inhibitor,,,
A-582941,GTMRUYCIJSNXGB-GASCZTMLSA-N,Preclinical,nicotinic receptor agonist,CHRNA7,,
A-61603,OQFCXJDXHCDLHX-NSHDSACASA-N,Preclinical,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D,,
A-674563,BPNUQXPIQBZCMR-IBGZPJMESA-N,Preclinical,AKT inhibitor,AKT1|PKIA|PRKACA,,
A-7,JLUUJHIQVIXTGT-UHFFFAOYSA-N,Preclinical,calmodulin antagonist,,,
A-769662,CTESJDQKVOEUOY-UHFFFAOYSA-N,Preclinical,AMPK activator,,,
A-784168,SDUAWRFBHRAFBM-UHFFFAOYSA-N,Preclinical,transient receptor potential channel antagonist,TRPV1,,
A-803467,VHKBTPQDHDSBSP-UHFFFAOYSA-N,Preclinical,sodium channel blocker,SCN10A,,
A-804598,PQYCRDPLPKGSME-AWEZNQCLSA-N,Preclinical,purinergic receptor antagonist,P2RX7,,
A-839977,GMVNBKZQJFRFAR-UHFFFAOYSA-N,Preclinical,purinergic receptor antagonist,P2RX7,,
A-867744,ABACVOXFUHDKNZ-UHFFFAOYSA-N,Preclinical,acetylcholine receptor allosteric modulator,CHRNA3|CHRNA4|CHRNA7,,
A-887826,JPJGFWKHSMUKFO-UHFFFAOYSA-N,Preclinical,sodium channel blocker,SCN10A,,
A-922500,BOZRFEQDOFSZBV-DHIUTWEWSA-N,Preclinical,diacylglycerol O acyltransferase inhibitor,DGAT1,,
A-939572,DPYTYQFYDLYWHZ-UHFFFAOYSA-N,Preclinical,stearoyl-CoA desaturase inhibitor,SCD,,
A-967079,HKROEBDHHKMNBZ-CHBKHGQFSA-N,Preclinical,transient receptor potential channel antagonist,TRPA1,,
A-987306,DJKJVWJQAVGLHJ-YPMHNXCESA-N,Preclinical,histamine receptor antagonist,ADORA1|AVPR1A|CCR1|CHRM1|CHRM2|CHRM3|CHRM4|DRD3|HTR1A|HTR1B|HTR2A|HTR2B|HTR3A|TACR2,,
A0001,LTVDFSLWFKLJDQ-IEOSBIPESA-N,Phase 2,,,,
A12B4C3,KVHGJAKTBPFFNV-KUXCXQDQSA-N,Preclinical,polynucleotide kinase/phosphatase inhibitor,PNKP,,
A205804,QQGWEXFLMJGCAL-UHFFFAOYSA-N,Preclinical,ICAM1 expression inhibitor,ICAM1|SELE,,
A61603,OQFCXJDXHCDLHX-LLVKDONJSA-N,Preclinical,adrenergic receptor agonist,ADRA1A,,
A66,HBPXWEPKNBHKAX-NSHDSACASA-N,Preclinical,PI3K inhibitor,PIK3CA,,
A740003,PUHSRMSFDASMAE-DEOSSOPVSA-N,Preclinical,purinergic receptor antagonist,P2RX7,,
A77636,QLJOSZATCBCBDR-KLONBWLYSA-N,Preclinical,dopamine receptor agonist,CALY,,
A922500,BOZRFEQDOFSZBV-PKTZIBPZSA-N,Preclinical,diacylglycerol O acyltransferase inhibitor,DGAT1,,
AA-29504,SCOOTUMXCXKEAD-UHFFFAOYSA-N,Preclinical,GABA receptor positive allosteric modulator,GABRA1|GABRA4|GABRB3,,
AAI101,HFZITXBUTWITPT-YWVKMMECSA-O,Phase 3,lactamase inhibitor,,,
AB-423,BBLXLHYPDOMJMO-SNVBAGLBSA-N,Preclinical,HBV capsid assembly inhibitor,,,
abacavir,MCGSCOLBFJQGHM-SCZZXKLOSA-N,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
abafungin,TYBHXIFFPVFXQW-UHFFFAOYSA-N,Phase 3,sterol methyltransferase inhibitor,,,
abamectin,ZFUKERYTFURFGA-PVVXTEPVSA-N,Launched,benzodiazepine receptor agonist,GABBR1|GABBR2,infectious disease,gastrointestinal parasites
abametapir,PTRATZCAGVBFIQ-UHFFFAOYSA-N,Phase 3,metalloproteinase inhibitor,MMP9,,
abarelix,AIWRTTMUVOZGPW-HSPKUQOVSA-N,Phase 3,gonadotropin releasing factor hormone receptor antagonist,GNRHR,,
ABBV-744,LQPFCYWRBQRRGE-UHFFFAOYSA-N,Phase 1,bromodomain inhibitor,,,
ABC-294640,CAOTVXGYTWCKQE-BRNYJPRKSA-N,Phase 2,sphingosine kinase inhibitor,SPHK2,,
abemaciclib,UZWDCWONPYILKI-UHFFFAOYSA-N,Launched,CDK inhibitor,CDK4|CDK6,oncology,breast cancer
abiraterone,GZOSMCIZMLWJML-VJLLXTKPSA-N,Launched,androgen biosynthesis inhibitor,CYP11B1|CYP17A1,oncology,prostate cancer
abiraterone-acetate,UVIQSJCZCSLXRZ-UBUQANBQSA-N,Launched,androgen biosynthesis inhibitor,CYP17A1,oncology,prostate cancer
ABT-072,XMZSTQYSBYEENY-RMKNXTFCSA-N,Phase 2,RNA polymerase inhibitor,,,
ABT-202,LVGMMVAWLISWJD-QMMMGPOBSA-N,Phase 1,acetylcholine receptor agonist,,,
ABT-239,KFHYZKCRXNRKRC-MRXNPFEDSA-N,Phase 1,histamine receptor antagonist,HRH1|HRH2|HRH3,,
ABT-491,GDLNHSUSOZEAOR-UHFFFAOYSA-N,Phase 1,platelet activating factor receptor antagonist,PTAFR,,
ABT-639,AGPIHNZOZNKRGT-CYBMUJFWSA-N,Phase 2,calcium channel blocker,CACNA1G|CACNA1H|CACNA1I,,
ABT-702,RQCXKDWOCUJWQZ-UHFFFAOYSA-N,Preclinical,adenosine kinase inhibitor,ADK,,
ABT-724,FRPJGTNLZNXQEX-UHFFFAOYSA-N,Phase 2,dopamine receptor agonist,DRD4,,
ABT-737,HPLNQCPCUACXLM-PGUFJCEWSA-N,Phase 1/Phase 2,BCL inhibitor,BCL2|BCL2L1|BCL2L2,,
ABT-737,"InChI=1S/C42H45ClN6O5S2/c1-46(2)23-22-35(30-55-37-9-4-3-5-10-37)44-40-21-20-38(28-41(40)49(51)52)56(53,54)45-42(50)32-14-18-36(19-15-32)48-26-24-47(25-27-48)29-33-8-6-7-11-39(33)31-12-16-34(43)17-13-31/h3-21,28,35,44H,22-27,29-30H2,1-2H3,(H,45,50)/t35-/m1/s1",Phase 1/Phase 2,BCL inhibitor,BCL2|BCL2L1|BCL2L2,,
ABT-751,URCVCIZFVQDVPM-UHFFFAOYSA-N,Phase 2,tubulin polymerization inhibitor,TUBB,,
ABX-1431,SQZJGTOZFRNWCX-UHFFFAOYSA-N,Phase 2,monoacylglycerol lipase inhibitor,,,
ABX464,OZOGDCZJYVSUBR-UHFFFAOYSA-N,Phase 2,antiviral,,,
AC-186,HSMUKSLNDJOZQG-UHFFFAOYSA-N,Preclinical,estrogen receptor agonist,ESR2,,
AC-261066,HSAOETBFVAWNRP-UHFFFAOYSA-N,Preclinical,retinoid receptor agonist,RARB,,
AC-264613,RQKXQCSEZPQBNZ-QSBCOWLBSA-N,Preclinical,PAR agonist,F2RL1,,
AC-55541,UCUHFWIFSHROPY-SQEMJAKJSA-N,Preclinical,PARP inhibitor,PARP2,,
AC-55649,HXBKPYIEQLLNBK-UHFFFAOYSA-N,Preclinical,retinoid receptor agonist,RARA|RARB,,
AC-710,JVCWPUFNLFSKFS-UHFFFAOYSA-N,Preclinical,PDGFR tyrosine kinase receptor inhibitor,CSF1R|FLT3|KIT|PDGFRA|PDGFRB,,
AC-7954-(+/-),HIVBATDUVFEJFZ-IBGZPJMESA-N,Preclinical,urotensin receptor agonist,UTS2R,,
AC1NDSS5,VZXULFIUJKSVJY-UHFFFAOYSA-N,Phase 1,,,,
AC260584,BWAKMLKESHKOHK-UHFFFAOYSA-N,Preclinical,cholinergic receptor agonist,,,
acadesine,RTRQQBHATOEIAF-UUOKFMHZSA-N,Phase 3,AMPK activator,,,
acalabrutinib,WDENQIQQYWYTPO-IBGZPJMESA-N,Launched,Bruton's tyrosine kinase (BTK) inhibitor,BTK,hematologic malignancy,mantle cell lymphoma (MCL)
acalisib,DOCINCLJNAXZQF-LBPRGKRZSA-N,Phase 1,PI3K inhibitor,PIK3CB|PIK3CD,,
acamprosate,AFCGFAGUEYAMAO-UHFFFAOYSA-N,Launched,glutamate receptor antagonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM5,neurology/psychiatry,abstinence from alcohol
acarbose,XUFXOAAUWZOOIT-SXARVLRPSA-N,Launched,glucosidase inhibitor,AMY2A|MGAM,endocrinology,diabetes mellitus
ACDPP,RNGRUHWJJPTYNR-UHFFFAOYSA-N,Preclinical,glutamate receptor antagonist,GRM5,,
acebilustat,GERJIEKMNDGSCS-DQEYMECFSA-N,Phase 2,leukotriene inhibitor,,,
acebutolol,GOEMGAFJFRBGGG-UHFFFAOYSA-N,Launched,adrenergic receptor antagonist,ADRB1,cardiology,hypertension|ventricular arrhythmias
acecainide,KEECCEWTUVWFCV-UHFFFAOYSA-N,Phase 3,polarization inhibitor,SCN5A,,
aceclidine,WRJPSSPFHGNBMG-VIFPVBQESA-N,Launched,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,ophthalmology,glaucoma
aceclofenac,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,Launched,prostanoid receptor antagonist,PTGS2,rheumatology,rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|periarthritis|lumbago|ischiadynia
acedapsone,AMTPYFGPPVFBBI-UHFFFAOYSA-N,Launched,,,infectious disease,leprosy
acedoben,QCXJEYYXVJIFCE-UHFFFAOYSA-N,Phase 2,,,,
acefylline,HCYFGRCYSCXKNQ-UHFFFAOYSA-N,Launched,adenosine receptor agonist,ADORA1,pulmonary,asthma
aceglutamide,KSMRODHGGIIXDV-YFKPBYRVSA-N,Launched,,,gastroenterology,peptic ulcer disease (PUD)
acelarin,NHTKGYOMICWFQZ-LHFSRKHSSA-N,Phase 2/Phase 3,anticancer agent,,,
acemetacin,FSQKKOOTNAMONP-UHFFFAOYSA-N,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis
aceneuramic-acid,SQVRNKJHWKZAKO-PFQGKNLYSA-N,Phase 3,,CES1|SELE|SELP,,
acenocoumarol,VABCILAOYCMVPS-HNNXBMFYSA-N,Launched,vitamin K antagonist,VKORC1,hematology,deep vein thrombosis (DVT)
acepromazine,NOSIYYJFMPDDSA-UHFFFAOYSA-N,Launched,dopamine receptor antagonist,ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A,neurology/psychiatry,sedative
acesulfame-potassium,YGCFIWIQZPHFLU-UHFFFAOYSA-N,Phase 3,,,,
acetanilide,FZERHIULMFGESH-UHFFFAOYSA-N,Preclinical,hydrogen peroxide decomposition inhibitor,,,
acetarsol,ODFJOVXVLFUVNQ-UHFFFAOYSA-N,Launched,,,gastroenterology,diarrhea
acetazolamide,BZKPWHYZMXOIDC-UHFFFAOYSA-N,Launched,carbonic anhydrase inhibitor,AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7,ophthalmology,glaucoma
acetohexamide,VGZSUPCWNCWDAN-UHFFFAOYSA-N,Launched,ATP channel blocker,ABCC8|KCNJ1|KCNJ10|KCNJ11,endocrinology,diabetes mellitus
acetohydroxamic-acid,RRUDCFGSUDOHDG-UHFFFAOYSA-N,Launched,urease inhibitor,MMP12,infectious disease,urinary tract infections
acetophenazine,WNTYBHLDCKXEOT-UHFFFAOYSA-N,Launched,dopamine receptor antagonist,DRD1|DRD2,neurology/psychiatry,psychosis
acetriazoic-acid,GNOGSFBXBWBTIG-UHFFFAOYSA-N,Preclinical,,,,
acetyl-11-keto-beta-boswellic-acid,HMMGKOVEOFBCAU-OQJDUFEHSA-N,Phase 2,lipoxygenase inhibitor,HSD11B1|HSD11B2,,
acetyl-farnesyl-cysteine,XTURYZYJYQRJDO-BNAHBJSTSA-N,Launched,methyltransferase inhibitor,PPARG,dermatology,acne vulgaris (AV)
acetyl-l-leucine,WXNXCEHXYPACJF-ZETCQYMHSA-N,Launched,,,neurology/psychiatry,vertigo
acetylcholine,OIPILFWXSMYKGL-UHFFFAOYSA-N,Launched,acetylcholine receptor agonist,ACHE|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion
acetylcysteine,PWKSKIMOESPYIA-BYPYZUCNSA-N,Launched,mucolytic agent,ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11,gastroenterology,acetaminophen overdose|hepatic injury
acetylsalicylsalicylic-acid,DDSFKIFGAPZBSR-UHFFFAOYSA-N,Preclinical,cyclooxygenase inhibitor,,,
acetylspiramycin,ZPCCSZFPOXBNDL-VGQMBGNASA-N,Preclinical,other antibiotic,,,
acexamic-acid,WDSCBUNMANHPFH-UHFFFAOYSA-N,Launched,5 alpha reductase inhibitor,GAST,dermatology,wound healing
acifran,DFDGRKNOFOJBAJ-LBPRGKRZSA-N,Phase 3,cholesterol inhibitor,HCAR2|HCAR3,,
acipimox,DJQOOSBJCLSSEY-UHFFFAOYSA-N,Launched,cholesterol inhibitor,HCAR2,endocrinology,hyperlipidemia
acitazanolast,VWQZJJZGISNFOE-UHFFFAOYSA-N,Launched,mediator release inhibitor,,allergy,allergic rhinitis
acitretin,IHUNBGSDBOWDMA-AQFIFDHZSA-N,Launched,retinoid receptor agonist,RARA|RARB|RARG|RBP1|RXRA|RXRB|RXRG|STAT3,dermatology,psoriasis
acivicin,QAWIHIJWNYOLBE-ZAFYKAAXSA-N,Phase 2,gamma glutamyltransferase inhibitor,CTPS1,,
aclarubicin,USZYSDMBJDPRIF-SVEJIMAYSA-N,Launched,topoisomerase inhibitor,TOP1|TOP2A,hematologic malignancy,acute myeloid leukemia (AML)
aclidinium,ASMXXROZKSBQIH-VITNCHFBSA-N,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD)
acolbifene,DUYNJNWVGIWJRI-LJAQVGFWSA-N,Phase 3,estrogen receptor antagonist,,,
acoziborole,PTYGDEXEGLDNAZ-UHFFFAOYSA-N,Preclinical,antitrypanosomal,,,
ACPC,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,Phase 1,glutamate receptor antagonist,,,
acriflavine,BCBIBQWDFMQRSJ-UHFFFAOYSA-O,Launched,hypoxia inducible factor inhibitor,HIF1A,infectious disease,fungal infection
acriflavinium,XSIOKTWDEOJMGG-UHFFFAOYSA-O,Launched,hypoxia inducible factor inhibitor,HIF1A,infectious disease,fungal infection
acrisorcin,YZODJQFXMFEJRM-UHFFFAOYSA-N,Launched,other antifungal,,infectious disease,fungal infection
acrivastine,PWACSDKDOHSSQD-IUTFFREVSA-N,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis
acrylate,MNNFZYTXMPWOTA-UHFFFAOYSA-N,Phase 3,mucus protecting agent,,,
ACT-132577,DKULOVKANLVDEA-UHFFFAOYSA-N,Launched,endothelin receptor antagonist,EDNRA|EDNRB,pulmonary,pulmonary arterial hypertension (PAH)
ACT-462206,NHPQGZOBHSVTAQ-IBGZPJMESA-N,Phase 1,orexin receptor antagonist,HCRTR1|HCRTR2,,
actarit,MROJXXOCABQVEF-UHFFFAOYSA-N,Launched,interleukin receptor agonist,,rheumatology,rheumatoid arthritis
ACTB-1003,GZPJCJKUZPUFAL-UHFFFAOYSA-N,Phase 1,FGFR inhibitor|VEGFR inhibitor,KDR|TEK,,
actinomycin-d,RJURFGZVJUQBHK-DCUCITLNSA-N,Launched,RNA polymerase inhibitor,,oncology,Wilm's tumor|Ewing's sarcoma|rhabdomyosarcoma|testicular carcinoma
actinoquinol,YAMVZYRZAMBCED-UHFFFAOYSA-N,Preclinical,,,,
acumapimod,VGUSQKZDZHAAEE-UHFFFAOYSA-N,Phase 1,p38 MAPK inhibitor,,,
ACY-1215,QGZYDVAGYRLSKP-UHFFFAOYSA-N,Phase 1/Phase 2,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,,
acyclovir,MKUXAQIIEYXACX-UHFFFAOYSA-N,Launched,DNA polymerase inhibitor,PNP,infectious disease,genitial herpes|shingles|chicken pox
AD-5467,CLDJCRWXLDLJLO-CQSZACIVSA-N,Phase 2,aldose reductase inhibitor,AKR1B1,,
adapalene,LZCDAPDGXCYOEH-UHFFFAOYSA-N,Launched,retinoid receptor agonist,RARA|RARB|RARG|RXRA|RXRB|RXRG,dermatology,acne vulgaris (AV)
adaprev,NBSCHQHZLSJFNQ-DVKNGEFBSA-N,Phase 3,TGF beta receptor inhibitor,AKR1B1|GPI|HK1|M6PR|PYGM,,
adaptavir,AKWRNBWMGFUAMF-ZESMOPTKSA-N,Phase 2,CC chemokine receptor antagonist,CCR5,,
adarotene,QAWBIEIZDDIEMW-FPYGCLRLSA-N,Phase 1,retinoid receptor agonist,RARB|RARG,,
adatanserin,HPFLVTSWRFCPCV-UHFFFAOYSA-N,Phase 2,serotonin receptor agonist|serotonin receptor antagonist,HTR1A|HTR2A,,
adavivint,AQDWDWAYVBQMAM-UHFFFAOYSA-N,Phase 1,WNT pathway inhibitor,,,
ADD-233089,OKVOKULYZXODKU-UHFFFAOYSA-N,Phase 1,benzodiazepine receptor agonist,,,
adefovir,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Launched,DNA polymerase inhibitor,,infectious disease,hepatitis B
adefovir-dipivoxil,WOZSCQDILHKSGG-UHFFFAOYSA-N,Launched,DNA polymerase inhibitor,,infectious disease,hepatitis B
adelmidrol,PAHZPHDAJQIETD-UHFFFAOYSA-N,Launched,anti-inflammatory agent,,dermatology,dermatitis
ademetionine,MEFKEPWMEQBLKI-AIRLBKTGSA-O,Launched,methyltransferase stimulant|phosphodiesterase inhibitor,,neurology/psychiatry,depression|attention-deficit/hyperactivity disorder (ADHD)
adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,Preclinical,protein synthesis stimulant,ACACB|ACP1|APRT|MTAP|PECR|SRPK2,,
adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,Launched,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4,cardiology,Wolff-Parkinson-White Syndrome (WPW)
adenosine-phosphate,UDMBCSSLTHHNCD-KQYNXXCUSA-N,Launched,adenosine receptor agonist,ACSL1|ACSS1|ACSS2|ADCY1|ADK|CREB1|FBP1|HINT1|PDE4B|PDE4D|PIM1|PRKAA1|PRKAB1|PRKAB2|PYGL|TRPM4,,
adenosine-triphosphate,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,Phase 2,adenosine receptor agonist,ABCA1|ABCB1|ABCB11|ABCC2|ABCC8|ABCC9|ABCG1|ABL1|ABL2|ACSL1|ACSS1|ACSS2|ACVR1|ACVR1B|ACVRL1|ADCY1|ADRBK1|ADRBK2|AFG3L2|AKT1|ALK|AMHR2|APAF1|ARAF|ASNA1|ASNS|ASS1|CDK15|GPR17|ITPR1|NAE1|NT5C2|P2RY1|P2RY11|P2RY13|P2RY2|P2RY4|PRKAA1|RYR1|RYR2|RYR3|SLC25A4|TNK2|TRPM4|TRPM7,,
adiphenine,JGOAIQNSOGZNBX-UHFFFAOYSA-N,Launched,acetylcholine receptor antagonist,CHRNA1,neurology/psychiatry,spasms
adipic-acid,WNLRTRBMVRJNCN-UHFFFAOYSA-N,Preclinical,solute carrier family member inhibitor,SLC22A6,,
adiporon,SHHUPGSHGSNPDB-UHFFFAOYSA-N,Preclinical,adiponectin receptor agonist,ADIPOR1|ADIPOR2,,
ADL5859,OPIKUXLJQFYMSC-UHFFFAOYSA-N,Phase 2,opioid receptor agonist,OPRD1,,
adomeglivant,FASLTMSUPQDLIB-MHZLTWQESA-N,Preclinical,glucagon receptor antagonist,,,
adoprazine,IUVSEUFHPNITEQ-UHFFFAOYSA-N,Phase 2,dopamine receptor antagonist|serotonin receptor agonist,DRD2|HTR1A,,
adrafinil,CGNMLOKEMNBUAI-HXUWFJFHSA-N,Launched,adrenergic receptor agonist,,neurology/psychiatry,fatigue
adrenalone,PZMVOUYYNKPMSI-UHFFFAOYSA-N,Launched,adrenergic receptor agonist,ADRA1A,hematology,hemorrhage
adrenosterone,RZRPTBIGEANTGU-IRIMSJTPSA-N,Preclinical,11-beta hydroxysteroid dehydrogenase inhibitor,HSD11B1|HSD11B2,,
ADX-10059,MEDCLNYIYBERKO-UHFFFAOYSA-N,Phase 2,glutamate receptor negative allosteric modulator,GRM5,,
ADX-47273,VXQCCZHCFBHTTD-HNNXBMFYSA-N,Preclinical,glutamate receptor modulator,GRM5,,
AEE788,OONFNUWBHFSNBT-HXUWFJFHSA-N,Phase 1/Phase 2,EGFR inhibitor|VEGFR inhibitor,EGFR|ERBB2|ERBB4|FGFR2|FGFR3|KDR,,
AEG3482,MQUYTXDAVCOCMX-UHFFFAOYSA-N,Preclinical,HSP inducer,,,
AF38469,JWCUSQCZMQIBMR-UHFFFAOYSA-N,Preclinical,sortilin inhibitor,SORT1,,
afalanine,CBQJSKKFNMDLON-JTQLQIEISA-N,Phase 3,dopamine receptor agonist,DRD2,,
afamelanotide,UAHFGYDRQSXQEB-LEBBXHLNSA-N,Launched,melanocyte-stimulating hormone mimetic,,,
afatinib,ULXXDDBFHOBEHA-CWDCEQMOSA-N,Launched,EGFR inhibitor,EGFR|ERBB2|ERBB4,oncology,non-small cell lung cancer (NSCLC)
afimoxifene,TXUZVZSFRXZGTL-QPLCGJKRSA-N,Phase 2,estrogen receptor antagonist,ESR1|ESR2|ESRRG|PLD1|PRKCD|PRKCE|PRKCQ|PRKCZ,,
afloqualone,VDOSWXIDETXFET-UHFFFAOYSA-N,Launched,acetylcholine receptor antagonist,,neurology/psychiatry,sedative
AFN-1252,QXTWSUQCXCWEHF-JXMROGBWSA-N,Phase 2,FABI inhibitor,,,
afobazole,WWNUCVSRRUDYPP-UHFFFAOYSA-N,Launched,anxiolytic,,neurology/psychiatry,anxiety
AG-1024,ABBADGFSRBWENF-UHFFFAOYSA-N,Preclinical,insulin growth factor receptor inhibitor,IGF1R,,
AG-14361,SEKJSSBJKFLZIT-UHFFFAOYSA-N,Preclinical,PARP inhibitor,PARP1,,
AG-490,TUCIOBMMDDOEMM-RIYZIHGNSA-N,Preclinical,EGFR inhibitor|JAK inhibitor,EGFR|JAK2|JAK3,,
AG-555,GSQOBTOAOGXIFL-LFIBNONCSA-N,Preclinical,tyrosine kinase inhibitor,CDK2,,
AG-556,GWCNJMUSWLTSCW-SFQUDFHCSA-N,Preclinical,tyrosine kinase inhibitor,,,
AGI-5198,FNYGWXSATBUBER-AREMUKBSSA-N,Preclinical,isocitrate dehydrogenase inhibitor,IDH1,,
AGI-6780,CCAWRGNYALGPQH-UHFFFAOYSA-N,Preclinical,isocitrate dehydrogenase inhibitor,IDH2,,
AGM-1470,MSHZHSPISPJWHW-FRDQJGBZSA-N,Phase 2,cell cycle inhibitor,METAP2,,
agmatine,QYPPJABKJHAVHS-UHFFFAOYSA-N,Phase 3,nitric oxide synthase inhibitor,ADRA2C|ASIC3|CACNA1B|CHRNA1|GRIN1|KCNJ1|NISCH,,
AGN-192403,SHXVJSFOJHMEEQ-AXTSPUMRSA-N,Preclinical,imidazoline receptor ligand,NISCH,,
AGN-194310,LHUPKWKWYWOMSK-UHFFFAOYSA-N,Phase 3,retinoid receptor antagonist,RXRA|RXRB|RXRG,,
AGN-195183,PNAWUIKCVQSLFG-UHFFFAOYSA-N,Phase 1/Phase 2,retinoid receptor agonist,RARA,,
agomelatine,YJYPHIXNFHFHND-UHFFFAOYSA-N,Launched,melatonin receptor agonist|serotonin receptor antagonist,HTR2A|HTR2B|HTR2C|MTNR1A|MTNR1B,neurology/psychiatry,depression
AGP-103,UKMSUNONTOPOIO-UHFFFAOYSA-N,Launched,membrane permeability inhibitor,,,
AH-7614,OZCQEUZTOAAWDK-UHFFFAOYSA-N,Preclinical,free fatty acid receptor antagonist,FFAR4,,
AH11110,HSVZQQYIMKLNLN-GOSISDBHSA-N,Preclinical,adrenergic receptor ligand,ADRA1B,,
AH6809,AQFFXPQJLZFABJ-UHFFFAOYSA-N,Preclinical,prostanoid receptor antagonist,PTGDR|PTGER1|PTGER2|PTGER3,,
AI-10-49,WJBSSBFGPKTMQQ-UHFFFAOYSA-N,Preclinical,core binding factor inhibitor,CBFB,,
AIM-100,XNFHHOXCDUAYSR-SFHVURJKSA-N,Preclinical,tyrosine kinase inhibitor,TNK2,,
AJ76-(+),YGHLYBIUVOLKCV-SMDDNHRTSA-N,Preclinical,dopamine receptor antagonist,DRD2|DRD3|DRD4,,
ajmaline,CJDRUOGAGYHKKD-BDXZSHBPSA-N,Launched,sodium channel blocker,,cardiology,Wolff-Parkinson-White Syndrome (WPW)
AK-7,IYAYHZZWYNXHEQ-UHFFFAOYSA-N,Preclinical,SIRT inhibitor,SIRT2,,
AKBA,HMMGKOVEOFBCAU-BCDBGHSCSA-N,Phase 3,lipoxygenase inhibitor,ALOX5,,
aklomide,GFGSZUNNBQXGMK-UHFFFAOYSA-N,Launched,,,infectious disease,coccidiosis
AL-8697,ZVBTZTQYHOXIBC-UHFFFAOYSA-N,Preclinical,p38 MAPK inhibitor,MAPK14,,
alacepril,FHHHOYXPRDYHEZ-COXVUDFISA-N,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension
alafosfalin,BHAYDBSYOBONRV-IUYQGCFVSA-N,Phase 1,bacterial cell wall synthesis inhibitor,,,
alagebrium,LYLFQLCLUXOFOL-UHFFFAOYSA-N,Phase 2/Phase 3,glycosylation inhibitor,,,
alanine,QNAYBMKLOCPYGJ-UWTATZPHSA-N,Launched,,,,
alanosine,MLFKVJCWGUZWNV-REOHCLBHSA-N,Phase 2,antimetabolite,,,
alantolactone,PXOYOCNNSUAQNS-AGNJHWRGSA-N,Preclinical,apoptosis stimulant|STAT inhibitor,STAT3,,
alaproclate,FZSPJBYOKQPKCD-SECBINFHSA-N,Phase 2,serotonin receptor antagonist,SLC6A4,,
alarelin,QLGKMLRGKPKGKI-QWQCQAQZSA-N,Launched,gonadotropin releasing factor hormone receptor antagonist,GNRH1,,
albendazole,HXHWSAZORRCQMX-UHFFFAOYSA-N,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis
albendazole-oxide,VXTGHWHFYNYFFV-LJQANCHMSA-N,Launched,anthelmintic agent,,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis
albuterol,NDAUXUAQIAJITI-GFCCVEGCSA-N,Launched,adrenergic receptor agonist,ADRB2,pulmonary,asthma
alcaftadine,MWTBKTRZPHJQLH-UHFFFAOYSA-N,Launched,histamine receptor antagonist,HRH1,allergy,allergic conjunctivitis
